127.0.0.1 - - [05/Dec/2020:16:51:47 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/project/index.jsp HTTP/1.1" 200 31095
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/project/css/main.css HTTP/1.1" 200 7808
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/project/js/main.js HTTP/1.1" 200 371
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/semiImages/logo.png HTTP/1.1" 200 64672
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/semiImages/master_class.jpg HTTP/1.1" 200 294109
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/semiImages/tableware.jpg HTTP/1.1" 200 335044
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/upload/zark_lolel_sum_08.jpg HTTP/1.1" 200 80543
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/upload/atm_sum_23.gif HTTP/1.1" 200 686760
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/upload/bju_sum_09.jpg HTTP/1.1" 200 48033
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/upload/russia_russiansoul_sum_05.jpg HTTP/1.1" 200 65643
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/upload/russia_russiansoul_sum_11.jpg HTTP/1.1" 200 44301
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/upload/russia_cobalt_sum_04.jpg HTTP/1.1" 200 72076
0:0:0:0:0:0:0:1 - - [05/Dec/2020:16:51:50 +0900] "GET /edgeliving/upload/england_royal_sum_10.jpg HTTP/1.1" 200 44134
